county,lat,lon,bubble,change,week,state,telemed
Adair,35.6826,-94.7611,16,8,202244,KY,-0.02
Caddo Parish,32.3161,-93.8881,16,6,202244,LA,-0.02
Kearny,37.9382,-101.2713,16,4,202244,KS,-0.02
Gray,35.2273,-100.7592,16,3,202244,KS,-0.02
Oscoda,44.6001,-84.2931,16,2.5,202244,MI,-0.02
Bonner,48.0223,-116.9909,16,2,202244,ID,-0.02
Burt,41.7715,-96.3924,16,2,202244,NE,-0.02
Fairfield,34.2717,-81.2712,16,2,202244,CT,-0.02
Lincoln,31.3795,-90.2867,16,2,202244,ME,-0.02
Siskiyou,41.2124,-122.2734,16,2,202244,CA,-0.02
Houston,31.0507,-85.3154,16,1.833333333,202244,GA,-0.02
Brown,31.5176,-99.1277,14.8186433351474,1.477777778,202244,WI,-0.02
Maury,35.4749,-87.0005,13.9796375,1.375,202244,TN,-0.02
York,34.8507,-80.9342,13.4301846178964,1.307692308,202244,ME,-0.02
Lancaster,34.5578,-80.5546,13.2507714309038,1.285714286,202244,SC,-0.02
Ottawa,36.6296,-94.9432,12.7324666648526,1.222222222,202244,KS,-0.02
White Pine,38.8641,-115.0069,11.571464,1.08,202244,NV,-0.02
Bourbon,37.7175,-94.6613,10.9184,1,202244,KY,-0.02
DeSoto,27.0675,-81.9855,10.9184,1,202244,MS,-0.02
Mercer,37.2698,-81.2223,10.9184,1,202244,OH,-0.02
Lake,28.5494,-81.7729,10.7643754678475,-0.981132075,202244,SD,-0.02
Jackson,28.7671,-96.6492,10.510235,-0.95,202244,GA,-0.02
Van Zandt,32.4126,-95.6371,10.4690440331024,-0.944954128,202244,TX,-0.02
Delaware,36.1662,-94.8547,9.9764807723705,0.884615385,202244,NY,-0.02
Bennington,42.7562,-73.0679,9.5787815392988,-0.835897436,202244,VT,-0.02
Fayette,29.6882,-96.9106,9.28574,-0.8,202244,PA,-0.02
Rockingham,36.3432,-79.6642,8.9160811309973,-0.754716981,202244,NH,-0.02
Utah,39.953,-111.9008,8.877575,0.75,202244,UT,-0.02
Becker,46.7565,-95.5212,8.6604659548415,0.723404255,202244,MN,-0.02
Essex,37.7681,-76.7117,8.5174294122449,0.705882353,202244,NH,-0.02
Mendocino,38.8251,-123.5399,8.2773323510204,-0.676470588,202244,CA,-0.02
Tompkins,42.3621,-76.592,8.1973000027211,-0.666666667,202244,NY,-0.02
Rowan,35.5435,-80.6129,8.1973000027211,0.666666667,202244,NC,-0.02
