county,lat,lon,bubble,change,week,state,telemed
Utah,39.953,-111.9008,16,4,202311,UT,-0.03
Washington,30.1669,-96.3977,16,3,202311,UT,-0.03
Pike,31.0217,-90.479,16,2.5,202311,MS,-0.03
Worcester,38.0452,-75.4108,16,12,202311,RI,-0.03
Tompkins,42.3621,-76.592,16,1.75,202311,NY,-0.03
Hampshire,39.1362,-78.4845,13.6394999972789,1.333333333,202311,MA,-0.03
Alamance,35.9066,-79.4279,12.55106,1.2,202311,NC,-0.03
Hardin,30.1491,-94.3733,12.3804835852574,1.179104478,202311,KY,-0.03
Okfuskee,35.3416,-96.1136,10.7965597025891,-0.985074627,202311,OK,-0.03
Dawes,42.4439,-103.2985,10.3168936803437,0.926315789,202311,NE,-0.03
Henry,31.3534,-85.3323,10.0113666675737,0.888888889,202311,OH,-0.03
Seward,37.0216,-100.938,9.938804,0.88,202311,KS,-0.03
Saline,34.4508,-92.6547,9.9289090926407,0.878787879,202311,NE,-0.03
Lincoln,31.3795,-90.2867,9.8979875,-0.875,202311,ME,-0.03
Los Alamos,35.8275,-106.2039,9.8979875,0.875,202311,NM,-0.03
DeSoto,27.0675,-81.9855,9.1043333351474,-0.777777778,202311,MS,-0.03
Benton,34.6244,-89.1862,9.0631045476809,0.772727273,202311,MN,-0.03
Adair,35.6826,-94.7611,8.9976235265306,-0.764705882,202311,KY,-0.03
McIntosh,31.3826,-81.4312,8.9849868442535,-0.763157895,202311,OK,-0.03
Burt,41.7715,-96.3924,8.877575,0.75,202311,NE,-0.03
Dixon,42.2733,-96.8776,8.877575,0.75,202311,NE,-0.03
Thurston,42.0574,-96.4929,8.877575,0.75,202311,NE,-0.03
Pottawatomie,34.9849,-96.8763,8.8252461571952,0.743589744,202311,KS,-0.03
Marshall,33.9517,-96.712,8.7205884634223,0.730769231,202311,WV,-0.03
Antelope,41.9732,-98.0751,8.6508166648526,0.722222222,202311,NE,-0.03
Pierce,31.2931,-82.2617,8.5860285690962,0.714285714,202311,NE,-0.03
Champaign,39.9012,-88.0753,8.5034237527211,-0.704166667,202311,IL,-0.03
Howard,32.1105,-101.3669,8.4446727275201,0.696969697,202311,NE,-0.03
Jackson,28.7671,-96.6492,8.3787066675737,-0.688888889,202311,OK,-0.03
Clark,33.8309,-93.1263,8.3209863651206,0.681818182,202311,KY,-0.03
Kent,33.2518,-100.5825,8.3130914907512,0.680851064,202311,MI,-0.03
Winnebago,42.2166,-89.0512,8.2980814841018,-0.679012346,202311,IA,-0.03
Alameda,37.5176,-121.9287,8.1973000027211,-0.666666667,202311,CA,-0.03
Major,36.2341,-98.3374,8.1973000027211,-0.666666667,202311,OK,-0.03
Lehigh,40.4734,-75.5261,8.1973000027211,0.666666667,202311,PA,-0.03
Sagadahoc,43.7688,-69.815,8.1973000027211,0.666666667,202311,ME,-0.03
Noble,36.2753,-97.4526,8.1058344548105,0.655462185,202311,IN,-0.03
Fillmore,40.4065,-97.4427,8.0839208351474,0.652777778,202311,NE,-0.03
Sullivan,36.4195,-82.304,8.0029357154519,-0.642857143,202311,NY,-0.03
Curry,34.3841,-103.3154,7.9499272697588,0.636363636,202311,OR,-0.03
Essex,37.7681,-76.7117,7.8571625,-0.625,202311,MO,-0.03
Jefferson,28.883,-81.3087,7.7971382367347,-0.617647059,202311,OK,-0.03
Rankin,32.0627,-89.9929,7.7437833324263,-0.611111111,202311,MS,-0.03
Seneca,41.0182,-82.9899,7.6804430142515,0.603351955,202311,OH,-0.03
Bremer,42.6465,-92.4791,7.65308,-0.6,202311,IA,-0.03
Cherokee,31.4885,-94.9399,7.4812210491944,-0.578947368,202311,TX,-0.03
Neosho,37.4527,-95.4671,7.326548,-0.56,202311,KS,-0.03
Clay,29.7683,-81.9907,7.2996175263623,-0.556701031,202311,KS,-0.03
Jasper,30.3129,-94.0731,7.2848836759886,-0.554896142,202311,IA,-0.03
Williams,41.4425,-84.7349,7.2513645621044,-0.550790068,202311,OH,-0.03
Washington,30.1669,-96.3977,7.244915,0.55,202311,KS,-0.03
Laramie,41.0428,-104.2765,7.1841244640903,-0.542553191,202311,WY,-0.03
Christian,36.6543,-87.4606,7.0635083351474,-0.527777778,202311,KY,-0.03
Orangeburg,33.2628,-80.8059,7.0311142872692,0.523809524,202311,SC,-0.03
Yellowstone,45.6745,-108.769,6.9743337112589,0.516853933,202311,MT,-0.03
Tulare,35.805,-119.1315,6.9643015625,0.515625,202311,CA,-0.03
Simpson,31.8277,-90.0088,6.9414076937729,-0.512820513,202311,KY,-0.03
Marshall,33.9517,-96.712,6.918383,0.51,202311,IA,-0.03
Bronx,40.8085,-73.9198,6.83675,0.5,202311,NY,-0.03
Linn,38.0718,-94.7008,6.83675,0.5,202311,OR,-0.03
Westchester,40.9002,-73.781,6.83675,0.5,202311,CT,-0.03
Butler,31.545,-86.7356,6.6960034508093,0.482758621,202311,NE,-0.03
