county,lat,lon,bubble,change,week,state,telemed
Lawrence,31.4036,-90.1864,16,3.818181818,202250,SD,-0.03
Utah,39.953,-111.9008,16,3,202250,UT,-0.03
Charles Mix,42.9925,-98.4251,16,2.857142857,202250,SD,-0.03
Osage,36.1576,-96.0311,16,2.842105263,202250,KS,-0.03
Franklin,29.7255,-85.0063,16,2.2,202250,KY,-0.03
Westchester,40.9002,-73.781,16,14.28571429,202250,NY,-0.03
Rock,42.5083,-89.0318,16,1.947368421,202250,MN,-0.03
Penobscot,44.6991,-69.1025,16,1.945454545,202250,ME,-0.03
Manitowoc,43.9217,-87.7673,16,1.75,202250,WI,-0.03
Wichita,33.8579,-98.8081,16,1.75,202250,KS,-0.03
Henry,31.3534,-85.3323,16,1.666666667,202250,OH,-0.03
Seward,37.0216,-100.938,15.00005,1.5,202250,KS,-0.03
Franklin,29.7255,-85.0063,14.18372,1.4,202250,MO,-0.03
Albany,41.0528,-105.4462,13.6394999972789,1.333333333,202250,WY,-0.03
Wayne,31.5168,-82.0397,13.0479565199645,1.260869565,202250,MI,-0.03
Montgomery,30.1199,-95.4247,11.8254333324263,1.111111111,202250,IA,-0.03
Columbia,29.9207,-82.6879,11.2323730731554,1.038461538,202250,PA,-0.03
Burt,41.7715,-96.3924,10.9184,1,202250,NE,-0.03
Kit Carson,39.3087,-102.5979,10.9184,1,202250,CO,-0.03
Noble,36.2753,-97.4526,10.1110406585333,0.901098901,202250,IN,-0.03
Lake,28.5494,-81.7729,9.7522142845481,0.857142857,202250,OH,-0.03
Schuylkill,40.5545,-76.2038,9.7522142845481,0.857142857,202250,PA,-0.03
Dixon,42.2733,-96.8776,9.5578499972789,0.833333333,202250,NE,-0.03
Island,47.9508,-122.3916,9.5578499972789,0.833333333,202250,WA,-0.03
Laramie,41.0428,-104.2765,9.4898225,0.825,202250,WY,-0.03
Garvin,34.4719,-97.3879,9.18369875,0.7875,202250,OK,-0.03
Madison,30.3979,-83.2844,8.877575,-0.75,202250,LA,-0.03
Rankin,32.0627,-89.9929,8.7415199972789,0.733333333,202250,MS,-0.03
Lawrence,31.4036,-90.1864,8.5860285690962,0.714285714,202250,OH,-0.03
Cache,41.56,-111.8297,8.112265625,0.65625,202250,UT,-0.03
Waseca,43.8937,-93.4995,8.0789913039929,0.652173913,202250,MN,-0.03
Knox,33.4183,-99.8137,8.0029357154519,0.642857143,202250,NE,-0.03
McIntosh,31.3826,-81.4312,8.0029357154519,0.642857143,202250,OK,-0.03
