county,lat,lon,bubble,change,week,state,telemed
Martin,27.0595,-80.1364,16,8.8,202323,MN,-0.15
Danville,36.5779,-79.4411,16,3.075,202323,VA,-0.15
Kit Carson,39.3087,-102.5979,16,3,202323,CO,-0.15
Madison,30.3979,-83.2844,16,3,202323,IL,-0.15
Walworth,42.5136,-88.4843,16,2.5,202323,WI,-0.15
Belmont,39.8679,-80.8168,16,2,202323,OH,-0.15
Douglas,33.6634,-84.8639,16,14.16666667,202323,GA,-0.15
Winston,32.9789,-89.1221,16,1.685714286,202323,AL,-0.15
Dawes,42.4439,-103.2985,16,1.648648649,202323,NE,-0.15
Alamance,35.9066,-79.4279,15.00005,1.5,202323,NC,-0.15
Leavenworth,39.0014,-95.0391,15.00005,1.5,202323,KS,-0.15
York,34.8507,-80.9342,15.00005,1.5,202323,ME,-0.15
Anderson,31.648,-95.5551,14.4558299972789,1.433333333,202323,KS,-0.15
Kanawha,38.0505,-81.4227,13.9796375,1.375,202323,WV,-0.15
Arkansas,34.0893,-91.2437,13.7995647020408,1.352941176,202323,AR,-0.15
Bonner,48.0223,-116.9909,13.6394999972789,1.333333333,202323,ID,-0.15
Johnson,32.2532,-97.3678,13.6394999972789,1.333333333,202323,NE,-0.15
Fayette,29.6882,-96.9106,13.1447545476809,1.272727273,202323,TN,-0.15
Deschutes,43.7091,-121.5194,12.959225,1.25,202323,OR,-0.15
Essex,37.7681,-76.7117,12.55106,1.2,202323,MO,-0.15
Chickasaw,33.8066,-89.0256,12.3589823510204,1.176470588,202323,IA,-0.15
Jefferson,28.883,-81.3087,11.326565,1.05,202323,OK,-0.15
Clay,29.7683,-81.9907,11.2894590871985,1.045454545,202323,FL,-0.15
Berks,40.1552,-75.8998,10.9184,1,202323,PA,-0.15
Daviess,37.6206,-87.0591,10.9184,1,202323,MO,-0.15
Hamilton,30.3387,-82.7765,10.9184,1,202323,TN,-0.15
Knox,33.4183,-99.8137,10.9184,1,202323,ME,-0.15
Washington,30.1669,-96.3977,10.9184,1,202323,OR,-0.15
Washington,30.1669,-96.3977,10.9184,1,202323,OH,-0.15
Randolph,33.1492,-85.5513,10.6369068934553,0.965517241,202323,IL,-0.15
Fort Bend,29.3327,-95.7702,10.4236545422387,0.939393939,202323,TX,-0.15
White Pine,38.8641,-115.0069,10.40819375,0.9375,202323,NV,-0.15
Major,36.2341,-98.3374,10.2565108114727,0.918918919,202323,OK,-0.15
Kent,33.2518,-100.5825,10.2186885690962,-0.914285714,202323,RI,-0.15
Christian,36.6543,-87.4606,9.9580117632653,0.882352941,202323,KY,-0.15
Calumet,43.9446,-88.0911,9.6294578934479,0.842105263,202323,WI,-0.15
Okaloosa,30.3935,-86.4958,9.5894906950166,0.837209302,202323,FL,-0.15
Terrebonne,29.3695,-90.697,9.5109344836031,0.827586207,202323,LA,-0.15
Hall,34.1819,-83.9024,9.4341636348794,0.818181818,202323,GA,-0.15
Lee,26.3398,-81.7787,9.4171034480882,0.816091954,202323,IL,-0.15
Taylor,29.6739,-83.3723,9.28574,-0.8,202323,TX,-0.15
Osage,36.1576,-96.0311,9.28574,0.8,202323,KS,-0.15
Sullivan,36.4195,-82.304,9.28574,0.8,202323,NY,-0.15
Williams,41.4425,-84.7349,9.278908787294,0.79916318,202323,OH,-0.15
Kenai Peninsula,59.4495,-151.7009,9.1043333351474,0.777777778,202323,AK,-0.15
Wood,32.6439,-95.222,9.0460834875866,0.770642202,202323,TX,-0.15
Thurston,42.0574,-96.4929,9.0136300027211,0.766666667,202323,WA,-0.15
Ray,39.2048,-94.0259,8.9888927302412,0.763636364,202323,MO,-0.15
Pierce,31.2931,-82.2617,8.959208,0.76,202323,WI,-0.15
Bartow,34.12,-84.757,8.877575,0.75,202323,GA,-0.15
Schuylkill,40.5545,-76.2038,8.877575,0.75,202323,PA,-0.15
Wyandotte,39.0668,-94.6282,8.8322233297052,0.744444444,202323,KS,-0.15
Haskell,33.0771,-99.959,8.798062335542,0.74025974,202323,OK,-0.15
Roanoke,37.1549,-80.1215,8.7526265342774,-0.734693878,202323,VA,-0.15
Logan,35.1304,-93.7116,8.7046237261847,0.728813559,202323,OK,-0.15
Washington,30.1669,-96.3977,8.6562807207278,0.722891566,202323,VT,-0.15
Grand Isle,44.6031,-72.9527,8.5860285690962,0.714285714,202323,VT,-0.15
Decatur,30.7493,-84.4846,8.4504255846227,0.697674419,202323,IA,-0.15
Delaware,36.1662,-94.8547,8.4446727275201,0.696969697,202323,PA,-0.15
Clark,33.8309,-93.1263,8.4066153821036,-0.692307692,202323,IN,-0.15
Marion,28.9782,-81.8932,8.3464013710931,0.684931507,202323,MD,-0.15
Canyon,43.3784,-116.5489,8.3281221178964,-0.682692308,202323,ID,-0.15
Keokuk,41.1826,-92.3097,8.3169087886073,0.681318681,202323,IA,-0.15
La Salle,28.0405,-99.3563,8.2944821463557,0.678571429,202323,LA,-0.15
Kings,35.9877,-120.1227,8.2773323510204,0.676470588,202323,NY,-0.15
New Castle,39.3819,-75.6834,8.2584483115799,0.674157303,202323,DE,-0.15
Charleston,32.6529,-80.1829,8.1973000027211,0.666666667,202323,SC,-0.15
Lake,28.5494,-81.7729,8.1973000027211,0.666666667,202323,OH,-0.15
Mercer,37.2698,-81.2223,8.1973000027211,0.666666667,202323,NJ,-0.15
Salt Lake,40.4954,-111.9444,8.1973000027211,0.666666667,202323,UT,-0.15
Knox,33.4183,-99.8137,8.1786623316746,0.664383562,202323,IN,-0.15
Arlington,38.8415,-77.0905,8.0983509128015,0.654545455,202323,VA,-0.15
Harrison,30.3598,-89.1646,8.0789913039929,0.652173913,202323,IA,-0.15
Greenup,38.4322,-82.8094,8.061245,0.65,202323,KY,-0.15
Pierce,31.2931,-82.2617,8.0158933297052,0.644444444,202323,NE,-0.15
Adams,31.4706,-91.4044,8.0029357154519,0.642857143,202323,CO,-0.15
Westchester,40.9002,-73.781,7.9499272697588,-0.636363636,202323,CT,-0.15
Nolan,32.082,-100.3111,7.9499272697588,0.636363636,202323,TX,-0.15
Hughes,34.878,-96.271,7.9108684180451,0.631578947,202323,SD,-0.15
Androscoggin,43.9684,-70.1846,7.7676526338704,0.614035088,202323,ME,-0.15
Seward,37.0216,-100.938,7.7437833324263,0.611111111,202323,NE,-0.15
Allegheny,40.2373,-79.9506,7.7254963730744,0.608870968,202323,PA,-0.15
