county,lat,lon,bubble,change,week,state,telemed
Cheshire,42.7544,-72.019,16,5,202232,NH,-0.09
Valdez-Cordova,60.5362,-145.7534,16,4,202232,AK,-0.09
Wyoming,37.4909,-81.3226,16,3.111111111,202232,PA,-0.09
Waller,29.8072,-95.9755,16,25,202232,TX,-0.09
McIntosh,31.3826,-81.4312,16,2.857142857,202232,OK,-0.09
Hudson,40.6664,-74.1192,16,2.333333333,202232,NJ,-0.09
Merrick,40.9856,-98.2217,16,2.272727273,202232,NE,-0.09
Franklin,29.7255,-85.0063,16,2.263157895,202232,MA,-0.09
Gray,35.2273,-100.7592,16,2.2,202232,KS,-0.09
Douglas,33.6634,-84.8639,16,2.171428571,202232,OR,-0.09
Meade,37.2701,-100.5732,16,2.170731707,202232,KY,-0.09
Wood,32.6439,-95.222,16,2,202232,WV,-0.09
Essex,37.7681,-76.7117,16,13,202232,ME,-0.09
Caldwell,29.6826,-97.6499,16,1.953125,202232,KY,-0.09
Preble,39.5897,-84.5581,16,1.895522388,202232,OH,-0.09
Utah,39.953,-111.9008,16,1.666666667,202232,UT,-0.09
Antelope,41.9732,-98.0751,16,1.6,202232,NE,-0.09
Madison,30.3979,-83.2844,15.00005,1.5,202232,IL,-0.09
Monterey,35.8093,-120.9728,14.3003385690962,1.414285714,202232,CA,-0.09
Kidder,46.8336,-99.6019,14.18372,1.4,202232,ND,-0.09
Kent,33.2518,-100.5825,13.9634404760609,1.373015873,202232,RI,-0.09
Westchester,40.9002,-73.781,12.959225,1.25,202232,CT,-0.09
Massac,37.1542,-88.5334,12.8022384634223,1.230769231,202232,IL,-0.09
El Paso,31.4407,-106.0765,12.2073421065521,1.157894737,202232,CO,-0.09
Curry,34.3841,-103.3154,10.9184,1,202232,OR,-0.09
Nemaha,39.6428,-95.8231,10.9184,1,202232,KS,-0.09
Pembina,48.5924,-97.6738,10.9184,1,202232,ND,-0.09
Pike,31.0217,-90.479,10.9184,1,202232,KY,-0.09
Northampton,36.2773,-77.2969,10.8461584031786,-0.991150442,202232,PA,-0.09
Manitowoc,43.9217,-87.7673,10.6369068934553,-0.965517241,202232,WI,-0.09
Haines,59.2519,-135.542,10.591868,-0.96,202232,AK,-0.09
Lake,28.5494,-81.7729,10.5169262284376,-0.950819672,202232,SD,-0.09
Union,29.9315,-82.4255,10.3741799972789,-0.933333333,202232,NJ,-0.09
Hughes,34.878,-96.271,10.3353071463557,-0.928571429,202232,OK,-0.09
Caledonia,44.1978,-72.1104,10.2721387472789,-0.920833333,202232,VT,-0.09
Midland,31.8693,-102.0317,10.1762818174397,0.909090909,202232,TX,-0.09
Adams,31.4706,-91.4044,10.0739206885292,0.896551724,202232,CO,-0.09
Clay,29.7683,-81.9907,10.0011752773217,-0.887640449,202232,NE,-0.09
Skagit,48.34,-122.3456,9.8299600027211,0.866666667,202232,WA,-0.09
Butler,31.545,-86.7356,9.7522142845481,-0.857142857,202232,OH,-0.09
Chickasaw,33.8066,-89.0256,9.5750721521054,-0.835443038,202232,IA,-0.09
Clinton,36.6857,-85.1407,9.5401805181023,-0.831168831,202232,KY,-0.09
Palo Alto,42.9417,-94.6746,9.28574,0.8,202232,IA,-0.09
Vermilion,29.9466,-92.2416,8.877575,0.75,202232,LA,-0.09
Houston,31.0507,-85.3154,8.5860285690962,0.714285714,202232,GA,-0.09
Poweshiek,41.5656,-92.6987,8.551043,0.71,202232,IA,-0.09
Martin,27.0595,-80.1364,8.4339173920142,0.695652174,202232,MN,-0.09
Hamilton,30.3387,-82.7765,8.2653275,0.675,202232,TN,-0.09
St. Mary's,38.0828,-76.3477,8.2569405500699,0.673972603,202232,MD,-0.09
Big Horn,44.2507,-107.6053,8.2528326550604,-0.673469388,202232,WY,-0.09
Henry,31.3534,-85.3323,8.1973000027211,-0.666666667,202232,OH,-0.09
Rosebud,45.2862,-106.5095,7.9975862396555,-0.642201835,202232,MT,-0.09
Essex,37.7681,-76.7117,7.8571625,-0.625,202232,MO,-0.09
Fulton,33.5242,-84.679,7.7584129048058,0.612903226,202232,OH,-0.09
Dixon,42.2733,-96.8776,7.65308,-0.6,202232,NE,-0.09
Waseca,43.8937,-93.4995,7.65308,0.6,202232,MN,-0.09
Platte,39.1776,-94.6321,7.602059375,0.59375,202232,MO,-0.09
Otter Tail,46.153,-95.3289,7.5170249972789,0.583333333,202232,MN,-0.09
Terrebonne,29.3695,-90.697,7.4551818201608,-0.575757576,202232,LA,-0.09
Neshoba,32.6439,-89.112,7.4489975,0.575,202232,MS,-0.09
Schuylkill,40.5545,-76.2038,7.4198428536443,0.571428571,202232,PA,-0.09
Lee,26.3398,-81.7787,7.3621108939988,0.564356436,202232,IL,-0.09
Adair,35.6826,-94.7611,7.3169441142857,-0.558823529,202232,KY,-0.09
Elkhart,41.4493,-85.9945,7.2902666702948,-0.555555556,202232,IN,-0.09
Fairfield,34.2717,-81.2712,7.2902666702948,-0.555555556,202232,CT,-0.09
Kosciusko,41.0743,-85.8792,7.2643514254616,0.552380952,202232,IN,-0.09
Tate,34.6323,-89.8855,7.2508304373854,-0.550724638,202232,MS,-0.09
Montgomery,30.1199,-95.4247,7.2078090871985,0.545454545,202232,IA,-0.09
Garvin,34.4719,-97.3879,7.0554098190962,-0.526785714,202232,OK,-0.09
Lackawanna,41.3432,-75.5301,6.83675,-0.5,202232,PA,-0.09
Lehigh,40.4734,-75.5261,6.83675,-0.5,202232,PA,-0.09
Oscoda,44.6001,-84.2931,6.83675,-0.5,202232,MI,-0.09
Richardson,40.0536,-95.4292,6.83675,0.5,202232,NE,-0.09
Osage,36.1576,-96.0311,6.7719619042436,-0.492063492,202232,KS,-0.09
Boyd,38.3089,-82.7476,6.7683424602896,0.491620112,202232,KY,-0.09
Mendocino,38.8251,-123.5399,6.7320923062271,0.487179487,202232,CA,-0.09
Mitchell,31.1272,-84.1564,6.7091984375,0.484375,202232,KS,-0.09
St. Clair,33.5296,-86.3007,6.6855777738473,-0.481481481,202232,IL,-0.09
Calumet,43.9446,-88.0911,6.659286960071,0.47826087,202232,WI,-0.09
Beaver,36.5996,-100.7103,6.6012701910518,0.471153846,202232,PA,-0.09
Siskiyou,41.2124,-122.2734,6.5452035690962,-0.464285714,202232,CA,-0.09
Jackson,28.7671,-96.6492,6.5344055558579,-0.462962963,202232,FL,-0.09
Barry,36.5276,-93.9359,6.4739366702948,0.455555556,202232,MO,-0.09
Cherokee,31.4885,-94.9399,6.4656909128015,0.454545455,202232,TX,-0.09
White Pine,38.8641,-115.0069,6.4417516110599,-0.451612903,202232,NV,-0.09
Morrison,45.5572,-94.2242,6.4189433100434,-0.448818898,202232,MN,-0.09
Providence,41.7312,-71.5468,6.3832333297052,-0.444444444,202232,RI,-0.09
Henry,31.3534,-85.3323,6.3832333297052,0.444444444,202232,MO,-0.09
Benton,34.6244,-89.1862,6.3714153121319,0.442996743,202232,IA,-0.09
Madison,30.3979,-83.2844,6.3596740295786,0.441558442,202232,MS,-0.09
Pierce,31.2931,-82.2617,6.3420045422387,-0.439393939,202232,NE,-0.09
Harrison,30.3598,-89.1646,6.32654375,0.4375,202232,OH,-0.09
Tazewell,36.9763,-81.628,6.2672174407214,-0.430232558,202232,IL,-0.09
Frederick,39.0367,-78.2815,6.2245025,-0.425,202232,MD,-0.09
Franklin,29.7255,-85.0063,6.1997294804294,-0.421965318,202232,IA,-0.09
Washington,30.1669,-96.3977,6.1922789508056,-0.421052632,202232,UT,-0.09
Mower,43.5309,-92.9328,6.1564750027211,-0.416666667,202232,MN,-0.09
Hughes,34.878,-96.271,6.1330172377199,-0.413793103,202232,SD,-0.09
Morris,32.9252,-94.7049,6.1268978239574,0.413043478,202232,NJ,-0.09
Champaign,39.9012,-88.0753,6.1252697272421,-0.412844037,202232,OH,-0.09
Bartow,34.12,-84.757,6.1164588244898,-0.411764706,202232,GA,-0.09
James City,37.2235,-76.7833,6.1130531936894,0.411347518,202232,VA,-0.09
Benton,34.6244,-89.1862,6.0808888855631,-0.407407407,202232,MN,-0.09
Somerset,37.9666,-76.0235,6.0645459426365,-0.405405405,202232,NJ,-0.09
Lawrence,31.4036,-90.1864,6.0551574455927,-0.404255319,202232,SD,-0.09
Gregory,43.0351,-98.8308,6.0467532221198,-0.403225806,202232,SD,-0.09
Lake,28.5494,-81.7729,6.02042,-0.4,202232,OH,-0.09
DeSoto,27.0675,-81.9855,6.02042,0.4,202232,MS,-0.09
Iredell,35.5432,-80.8473,6.02042,0.4,202232,NC,-0.09
Stanly,35.2106,-80.4407,5.9709454550402,-0.393939394,202232,NC,-0.09
Trempealeau,44.0218,-91.4282,5.9668901643359,0.393442623,202232,WI,-0.09
La Salle,28.0405,-99.3563,5.9091022697588,-0.386363636,202232,LA,-0.09
McLean,37.4177,-87.2736,5.8898072,-0.384,202232,KY,-0.09
Fond du Lac,43.6042,-88.2729,5.8163375,0.375,202232,WI,-0.09
Alachua,29.4536,-82.1065,5.7803229387755,0.370588235,202232,FL,-0.09
Shelby,31.7131,-93.9698,5.778544441421,0.37037037,202232,AL,-0.09
Taylor,29.6739,-83.3723,5.7626315819549,0.368421053,202232,WI,-0.09
Worcester,38.0452,-75.4108,5.7626315819549,0.368421053,202232,RI,-0.09
Cheyenne,38.804,-102.8198,5.7512047905341,-0.367021277,202232,NE,-0.09
Lamoille,44.442,-72.7188,5.7444774639839,-0.366197183,202232,VT,-0.09
Hamilton,30.3387,-82.7765,5.6962889734694,0.360294118,202232,IA,-0.09
Tuolumne,37.8108,-120.2988,5.6756941349213,0.357771261,202232,CA,-0.09
Pima,31.4887,-111.5421,5.6705642845481,0.357142857,202232,AZ,-0.09
Winnebago,42.2166,-89.0512,5.6436523089482,0.353846154,202232,IA,-0.09
Rutherford,35.2247,-81.8851,5.6362647020408,0.352941176,202232,TN,-0.09
Douglas,33.6634,-84.8639,5.612255,-0.35,202232,CO,-0.09
La Crosse,43.7989,-91.2175,5.612255,-0.35,202232,WI,-0.09
Nicollet,44.2172,-94.0942,5.5998863596784,0.348484848,202232,MN,-0.09
York,34.8507,-80.9342,5.5945086960071,0.347826087,202232,ME,-0.09
Washington,30.1669,-96.3977,5.5539457154519,0.342857143,202232,PA,-0.09
Brown,31.5176,-99.1277,5.528528848247,0.33974359,202232,WI,-0.09
Cedar,37.6613,-94.0129,5.5078406950166,0.337209302,202232,NE,-0.09
Charleston,32.6529,-80.1829,5.4761999972789,-0.333333333,202232,SC,-0.09
Harrison,30.3598,-89.1646,5.4761999972789,-0.333333333,202232,MO,-0.09
Jefferson,28.883,-81.3087,5.4761999972789,-0.333333333,202232,PA,-0.09
Tompkins,42.3621,-76.592,5.4761999972789,-0.333333333,202232,NY,-0.09
Anderson,31.648,-95.5551,5.4761999972789,0.333333333,202232,KS,-0.09
Burt,41.7715,-96.3924,5.4761999972789,0.333333333,202232,NE,-0.09
Delaware,36.1662,-94.8547,5.4761999972789,0.333333333,202232,IA,-0.09
Lancaster,34.5578,-80.5546,5.4761999972789,0.333333333,202232,SC,-0.09
Madison,30.3979,-83.2844,5.4761999972789,0.333333333,202232,LA,-0.09
Oktibbeha,33.357,-89.0473,5.4761999972789,0.333333333,202232,MS,-0.09
Plymouth,41.6618,-70.8164,5.4761999972789,0.333333333,202232,MA,-0.09
Wood,32.6439,-95.222,5.4761999972789,0.333333333,202232,OH,-0.09
White,34.5839,-83.75,5.4600988186451,0.331360947,202232,AR,-0.09
Hardin,30.1491,-94.3733,5.4430158562469,-0.329268293,202232,TX,-0.09
Harford,39.3982,-76.2743,5.3961676489796,0.323529412,202232,MD,-0.09
Sac,42.2653,-95.0852,5.3961676489796,0.323529412,202232,IA,-0.09
Harlan,36.7521,-83.4629,5.3839593195434,0.322033898,202232,NE,-0.09
Falls Church,38.8842,-77.1718,5.3790178536443,0.321428571,202232,VA,-0.09
Dundy,40.0642,-101.9371,5.367356,0.32,202232,NE,-0.09
Rogers,36.1503,-95.5205,5.354359699868,0.31840796,202232,OK,-0.09
Grundy,35.2402,-85.8228,5.3434634168243,-0.317073171,202232,MO,-0.09
Grundy,35.2402,-85.8228,5.3329842131042,0.315789474,202232,IA,-0.09
Danville,36.5779,-79.4411,5.3301006743186,0.315436242,202232,VA,-0.09
Peoria,40.5571,-89.7685,5.3283141279503,0.315217391,202232,IL,-0.09
Cottonwood,43.8831,-95.1373,5.3207085690962,-0.314285714,202232,MN,-0.09
Sequoyah,35.3898,-94.4462,5.3199206065637,-0.314189189,202232,OK,-0.09
Wright,37.0687,-92.4082,5.316135292517,0.31372549,202232,MN,-0.09
Sullivan,36.4195,-82.304,5.30613125,-0.3125,202232,NY,-0.09
Ford,37.553,-99.6325,5.3004832096694,-0.311808118,202232,KS,-0.09
Erie,41.3111,-82.6126,5.2830896745227,-0.309677419,202232,OH,-0.09
Los Angeles,33.332,-118.3437,5.2783018174397,-0.309090909,202232,CA,-0.09
Kearny,37.9382,-101.2713,5.2668846178964,0.307692308,202232,KS,-0.09
Washington,30.1669,-96.3977,5.2395826079858,0.304347826,202232,KS,-0.09
Van Zandt,32.4126,-95.6371,5.2367432,-0.304,202232,TX,-0.09
Fannin,33.3796,-96.2475,5.2220313170666,-0.302197802,202232,TX,-0.09
Otoe,40.5586,-96.0138,5.2205261759759,0.302013423,202232,NE,-0.09
Adams,31.4706,-91.4044,5.20409,-0.3,202232,IN,-0.09
Richmond,33.2941,-82.203,5.1934883141267,-0.298701299,202232,NC,-0.09
Ouachita,33.4169,-92.777,5.1820270246001,0.297297297,202232,AR,-0.09
Hanover,37.6281,-77.3395,5.1738555531368,-0.296296296,202232,VA,-0.09
Spotsylvania,38.0641,-77.6586,5.1685973920142,-0.295652174,202232,VA,-0.09
Iron,37.2955,-90.6279,5.1560705877551,0.294117647,202232,UT,-0.09
Walton,30.2835,-86.0305,5.1443585379791,-0.292682927,202232,FL,-0.09
Saline,34.4508,-92.6547,5.1317569660553,-0.291139241,202232,MO,-0.09
Jefferson,28.883,-81.3087,5.1250903254773,0.290322581,202232,IA,-0.09
Pickaway,39.5535,-82.7763,5.1250903254773,0.290322581,202232,OH,-0.09
Waukesha,42.8809,-88.4674,5.1219739612124,0.289940828,202232,WI,-0.09
Furnas,40.1063,-99.9715,5.1181605245972,-0.289473684,202232,NE,-0.09
McCracken,37.0368,-88.5934,5.1098980731554,0.288461538,202232,KY,-0.09
Wasco,44.8892,-120.7914,5.1072372863369,0.288135593,202232,OR,-0.09
Pontotoc,34.1617,-89.1795,5.1061304,-0.288,202232,OK,-0.09
