county,lat,lon,bubble,change,week,state,telemed
Terrebonne,29.3695,-90.697,16,4.5,202243,LA,0.03
Columbia,29.9207,-82.6879,16,4.333333333,202243,NY,0.03
Northampton,36.2773,-77.2969,16,35.66666667,202243,PA,0.03
Harford,39.3982,-76.2743,16,2.8,202243,MD,0.03
Manitowoc,43.9217,-87.7673,16,2.666666667,202243,WI,0.03
Gallatin,37.6952,-88.2491,16,2.421052632,202243,MT,0.03
Monroe,24.5552,-81.7816,16,1.52892562,202243,PA,0.03
Worth,31.513,-83.7385,13.9259315819549,1.368421053,202243,IA,0.03
Benton,34.6244,-89.1862,12.959225,1.25,202243,MN,0.03
Adams,31.4706,-91.4044,12.877592,1.24,202243,OH,0.03
Hamilton,30.3387,-82.7765,12.3381043439219,1.173913043,202243,TN,0.03
St. Clair,33.5296,-86.3007,12.2789500027211,1.166666667,202243,IL,0.03
Valdez-Cordova,60.5362,-145.7534,11.5986749972789,1.083333333,202243,AK,0.03
Lane,38.4742,-100.4647,11.2048315765127,1.035087719,202243,OR,0.03
Belmont,39.8679,-80.8168,10.9184,1,202243,OH,0.03
Kidder,46.8336,-99.6019,10.9184,1,202243,ND,0.03
Oxford,43.8262,-70.9243,10.9184,1,202243,ME,0.03
Stanly,35.2106,-80.4407,10.9184,1,202243,NC,0.03
Arapahoe,39.5805,-104.9011,10.8413877380054,0.990566038,202243,CO,0.03
Antelope,41.9732,-98.0751,10.510235,0.95,202243,NE,0.03
Inyo,35.9021,-116.1544,10.0965912746747,-0.899328859,202243,CA,0.03
Adair,35.6826,-94.7611,9.9854514309038,-0.885714286,202243,KY,0.03
Granville,35.6555,-78.4611,9.7522142845481,0.857142857,202243,NC,0.03
Burt,41.7715,-96.3924,9.5578499972789,-0.833333333,202243,NE,0.03
Oscoda,44.6001,-84.2931,9.4341636348794,-0.818181818,202243,MI,0.03
Bonner,48.0223,-116.9909,9.28574,-0.8,202243,ID,0.03
Essex,37.7681,-76.7117,9.1043333351474,-0.777777778,202243,NJ,0.03
Lincoln,31.3795,-90.2867,9.1043333351474,-0.777777778,202243,ME,0.03
Atlantic,39.3194,-74.5356,9.0631045476809,0.772727273,202243,NJ,0.03
Henry,31.3534,-85.3323,8.877575,0.75,202243,OH,0.03
Maury,35.4749,-87.0005,8.8117419365372,-0.741935484,202243,TN,0.03
Stanislaus,37.3097,-121.0805,8.6374779387755,0.720588235,202243,CA,0.03
Gibson,35.8081,-88.7627,8.5860285690962,0.714285714,202243,TN,0.03
San Mateo,37.2065,-122.3649,8.5860285690962,0.714285714,202243,CA,0.03
Berkeley,32.9185,-80.022,8.5174294122449,0.705882353,202243,SC,0.03
Clark,33.8309,-93.1263,8.36736875,0.6875,202243,KY,0.03
Lancaster,34.5578,-80.5546,8.3209863651206,-0.681818182,202243,SC,0.03
Major,36.2341,-98.3374,8.2496288455259,0.673076923,202243,OK,0.03
Pickaway,39.5535,-82.7763,8.112265625,0.65625,202243,OH,0.03
Houston,31.0507,-85.3154,8.0372352979592,-0.647058824,202243,GA,0.03
Gray,35.2273,-100.7592,8.0029357154519,-0.642857143,202243,KS,0.03
Union,29.9315,-82.4255,8.0029357154519,0.642857143,202243,IA,0.03
