county,lat,lon,bubble,change,week,state,telemed
Harrison,30.3598,-89.1646,16,6,202305,MO,-0.03
Simpson,31.8277,-90.0088,16,6,202305,KY,-0.03
Winston,32.9789,-89.1221,16,35,202305,AL,-0.03
Santa Cruz,31.377,-110.9435,16,2.5,202305,CA,-0.03
DeSoto,27.0675,-81.9855,16,2,202305,MS,-0.03
Dunn,44.7152,-91.9822,16,2,202305,WI,-0.03
Kit Carson,39.3087,-102.5979,16,2,202305,CO,-0.03
Lake,28.5494,-81.7729,16,1.923076923,202305,SD,-0.03
Accomack,37.5423,-75.7412,16,1.857142857,202305,VA,-0.03
Caledonia,44.1978,-72.1104,16,1.703703704,202305,VT,-0.03
Yellow Medicine,44.631,-95.4182,16,1.590909091,202305,MN,-0.03
Wichita,33.8579,-98.8081,15.00005,1.5,202305,KS,-0.03
Schuylkill,40.5545,-76.2038,14.18372,1.4,202305,PA,-0.03
Manitowoc,43.9217,-87.7673,14.0581307723705,1.384615385,202305,WI,-0.03
Osage,36.1576,-96.0311,13.6394999972789,1.333333333,202305,KS,-0.03
Washington,30.1669,-96.3977,12.8620428563654,1.238095238,202305,WI,-0.03
Perkins,40.8073,-101.9839,12.7324666648526,1.222222222,202305,NE,-0.03
Fulton,33.5242,-84.679,12.6676785690962,1.214285714,202305,OH,-0.03
Monterey,35.8093,-120.9728,10.8428138910053,-0.990740741,202305,CA,-0.03
Hardin,30.1491,-94.3733,10.7192951211548,0.975609756,202305,TX,-0.03
Murray,34.402,-97.051,10.7143175,0.975,202305,GA,-0.03
Pike,31.0217,-90.479,10.5296714254616,-0.952380952,202305,KY,-0.03
Wichita,33.8579,-98.8081,10.4236545422387,-0.939393939,202305,TX,-0.03
Madison,30.3979,-83.2844,10.2904538455259,-0.923076923,202305,LA,-0.03
Curry,34.3841,-103.3154,10.0591052622986,-0.894736842,202305,OR,-0.03
Tuolumne,37.8108,-120.2988,10.0137598940714,-0.889182058,202305,CA,-0.03
Okfuskee,35.3416,-96.1136,10.0113666675737,-0.888888889,202305,OK,-0.03
Gray,35.2273,-100.7592,9.8979875,0.875,202305,KS,-0.03
Franklin,29.7255,-85.0063,9.7522142845481,-0.857142857,202305,KY,-0.03
Codington,44.8858,-97.4442,9.7260078629672,0.853932584,202305,SD,-0.03
Tazewell,36.9763,-81.628,9.7090222234316,0.851851852,202305,IL,-0.03
Franklin,29.7255,-85.0063,9.6625076910518,-0.846153846,202305,WA,-0.03
Montgomery,30.1199,-95.4247,9.6485533297052,-0.844444444,202305,IL,-0.03
Monroe,24.5552,-81.7816,9.5578499972789,0.833333333,202305,FL,-0.03
Houston,31.0507,-85.3154,9.4986956560781,-0.826086957,202305,GA,-0.03
Adair,35.6826,-94.7611,9.38778125,-0.8125,202305,KY,-0.03
Hughes,34.878,-96.271,9.38778125,-0.8125,202305,OK,-0.03
Carlton,46.4472,-92.7466,9.3384064524029,-0.806451613,202305,MN,-0.03
Osceola,27.8767,-81.05,9.3177529442177,-0.803921569,202305,IA,-0.03
Anderson,31.648,-95.5551,9.3087352079333,-0.802816901,202305,SC,-0.03
Barry,36.5276,-93.9359,9.28574,-0.8,202305,MO,-0.03
Clayton,33.4429,-84.3136,9.28574,0.8,202305,GA,-0.03
Saline,34.4508,-92.6547,9.1998105245972,-0.789473684,202305,MO,-0.03
Pittsburg,34.6695,-96.0258,9.1691214309038,-0.785714286,202305,OK,-0.03
Burlington,39.5923,-74.451,9.1373163651206,-0.781818182,202305,NJ,-0.03
Morrison,45.5572,-94.2242,9.1043333351474,-0.777777778,202305,MN,-0.03
Kitsap,47.4179,-122.631,9.0525028536443,0.771428571,202305,WA,-0.03
Cheshire,42.7544,-72.019,9.0345615365777,-0.769230769,202305,NH,-0.03
Martin,27.0595,-80.1364,9.0078404270951,-0.765957447,202305,MN,-0.03
Delaware,36.1662,-94.8547,8.9747571436346,-0.761904762,202305,NY,-0.03
Kenton,38.8394,-84.5069,8.9499446789984,-0.758865248,202305,KY,-0.03
Canyon,43.3784,-116.5489,8.8950179476016,-0.752136752,202305,ID,-0.03
Okmulgee,35.4551,-95.9498,8.877575,-0.75,202305,OK,-0.03
Madison,30.3979,-83.2844,8.877575,0.75,202305,IL,-0.03
Montgomery,30.1199,-95.4247,8.877575,0.75,202305,IA,-0.03
