county,lat,lon,bubble,change,week,state,telemed
Plymouth,41.6618,-70.8164,16,9,202228,MA,-0.19
Walworth,42.5136,-88.4843,16,6.916666667,202228,WI,-0.19
Franklin,29.7255,-85.0063,16,6.741935484,202228,WA,-0.19
Boyd,38.3089,-82.7476,16,5.783783784,202228,KY,-0.19
Will,41.2657,-88.2231,16,5.291666667,202228,IL,-0.19
Westchester,40.9002,-73.781,16,4.666666667,202228,NY,-0.19
Norfolk,36.8294,-76.2701,16,4.46875,202228,MA,-0.19
Kit Carson,39.3087,-102.5979,16,4.166666667,202228,CO,-0.19
Rowan,35.5435,-80.6129,16,4,202228,NC,-0.19
Okmulgee,35.4551,-95.9498,16,37,202228,OK,-0.19
DeKalb,33.6823,-84.161,16,3.333333333,202228,GA,-0.19
Fond du Lac,43.6042,-88.2729,16,3,202228,WI,-0.19
Hudson,40.6664,-74.1192,16,2.666666667,202228,NJ,-0.19
Pima,31.4887,-111.5421,16,2.19047619,202228,AZ,-0.19
Ottawa,36.6296,-94.9432,16,2.041666667,202228,OH,-0.19
Alameda,37.5176,-121.9287,16,2,202228,CA,-0.19
Mobile,30.2521,-88.1096,16,13.5,202228,AL,-0.19
Eau Claire,44.5963,-90.9906,16,11.5,202228,WI,-0.19
Stafford,37.9433,-98.9481,16,1.846153846,202228,VA,-0.19
Washington,30.1669,-96.3977,16,1.783783784,202228,VT,-0.19
Houston,31.0507,-85.3154,16,1.769230769,202228,GA,-0.19
Carroll,33.3343,-89.757,16,1.75,202228,IL,-0.19
Sullivan,36.4195,-82.304,16,1.75,202228,NY,-0.19
Henry,31.3534,-85.3323,16,1.727272727,202228,MO,-0.19
Chester,34.5705,-80.9133,16,1.64,202228,SC,-0.19
Wayne,31.5168,-82.0397,16,1.555555556,202228,MI,-0.19
Belmont,39.8679,-80.8168,15.00005,1.5,202228,OH,-0.19
Graham,32.797,-109.7522,13.775555,1.35,202228,KS,-0.19
Cherokee,31.4885,-94.9399,13.6394999972789,1.333333333,202228,TX,-0.19
Montgomery,30.1199,-95.4247,13.36739,1.3,202228,TN,-0.19
Williams,41.4425,-84.7349,12.9130524854003,1.244343891,202228,OH,-0.19
Knox,33.4183,-99.8137,12.8437066070081,1.235849057,202228,TN,-0.19
Albany,41.0528,-105.4462,12.55106,1.2,202228,WY,-0.19
Vernon,30.9243,-93.2749,12.2789500027211,1.166666667,202228,MO,-0.19
Medina,29.1404,-99.1428,12.0521916675737,1.138888889,202228,OH,-0.19
Berks,40.1552,-75.8998,11.8787882367347,1.117647059,202228,PA,-0.19
Marshall,33.9517,-96.712,11.3480473688507,1.052631579,202228,KS,-0.19
Houston,31.0507,-85.3154,11.1439055216597,1.027624309,202228,AL,-0.19
Rock,42.5083,-89.0318,11.1390297295091,1.027027027,202228,MN,-0.19
Creek,35.7551,-96.5658,10.9758880320782,1.007042254,202228,OK,-0.19
Carlton,46.4472,-92.7466,10.9184,1,202228,MN,-0.19
Dixon,42.2733,-96.8776,10.9184,1,202228,NE,-0.19
Elmore,32.4995,-86.3641,10.9184,1,202228,ID,-0.19
Hughes,34.878,-96.271,10.9184,1,202228,SD,-0.19
Lake,28.5494,-81.7729,10.9184,1,202228,OH,-0.19
Pembina,48.5924,-97.6738,10.9184,1,202228,ND,-0.19
Shasta,40.3691,-122.3375,10.9184,1,202228,CA,-0.19
DuPage,41.7074,-87.9756,10.6977702704909,0.972972973,202228,IL,-0.19
Allegheny,40.2373,-79.9506,10.6281493297052,0.964444444,202228,PA,-0.19
Clayton,33.4429,-84.3136,10.413453609089,0.93814433,202228,IA,-0.19
Jessamine,37.8602,-84.6714,10.3618113651206,0.931818182,202228,KY,-0.19
York,34.8507,-80.9342,10.3181573510204,0.926470588,202228,SC,-0.19
Windsor,43.2831,-72.6031,10.2904538455259,0.923076923,202228,VT,-0.19
Hamilton,30.3387,-82.7765,10.0794837978866,0.897233202,202228,OH,-0.19
Lincoln,31.3795,-90.2867,10.0035474098522,0.887931034,202228,OK,-0.19
Norfolk,36.8294,-76.2701,9.938804,0.88,202228,VA,-0.19
Jefferson,28.883,-81.3087,9.8650709682686,0.870967742,202228,TX,-0.19
Cook,31.0403,-83.3915,9.8513019628118,0.869281046,202228,IL,-0.19
Howard,32.1105,-101.3669,9.4261838703533,0.817204301,202228,MD,-0.19
Sangamon,39.5394,-89.7621,9.3817788244898,0.811764706,202228,IL,-0.19
Dutchess,41.5097,-73.9634,9.336365113115,0.80620155,202228,NY,-0.19
Arlington,38.8415,-77.0905,9.3212326079858,0.804347826,202228,VA,-0.19
Simpson,31.8277,-90.0088,9.1691214309038,0.785714286,202228,KY,-0.19
Sunflower,33.349,-90.6051,9.1496849972789,0.783333333,202228,MS,-0.19
Cleburne,33.5616,-85.3786,8.9747571436346,0.761904762,202228,AL,-0.19
Orangeburg,33.2628,-80.8059,8.947948278677,0.75862069,202228,SC,-0.19
Anderson,31.648,-95.5551,8.9192244912953,0.755102041,202228,KS,-0.19
Clinton,36.6857,-85.1407,8.877575,0.75,202228,OH,-0.19
Okfuskee,35.3416,-96.1136,8.7888434800355,0.739130435,202228,OK,-0.19
Valdez-Cordova,60.5362,-145.7534,8.5860285690962,-0.714285714,202228,AK,-0.19
Lincoln,31.3795,-90.2867,8.5860285690962,0.714285714,202228,ME,-0.19
Rutland,43.3583,-73.0129,8.5673696,0.712,202228,VT,-0.19
Rosebud,45.2862,-106.5095,8.4264452622986,0.694736842,202228,MT,-0.19
Shawnee,38.9045,-95.7015,8.4159598218173,0.693452381,202228,KS,-0.19
Boulder,39.9205,-105.0867,8.3405157868958,0.684210526,202228,CO,-0.19
Seward,37.0216,-100.938,8.3405157868958,0.684210526,202228,KS,-0.19
McCracken,37.0368,-88.5934,8.3130914907512,0.680851064,202228,KY,-0.19
Osage,36.1576,-96.0311,8.2999830187139,0.679245283,202228,KS,-0.19
Fayette,29.6882,-96.9106,8.2361728536443,0.671428571,202228,OH,-0.19
City of Alexandria,38.8013,-77.0707,8.1973000027211,0.666666667,202228,VA,-0.19
Essex,37.7681,-76.7117,8.1973000027211,0.666666667,202228,MO,-0.19
Washington,30.1669,-96.3977,8.1973000027211,0.666666667,202228,IA,-0.19
Beaufort,32.1145,-80.8686,8.1828260636561,0.664893617,202228,SC,-0.19
Custer,35.5115,-98.9795,8.0827273688507,0.652631579,202228,NE,-0.19
Martin,27.0595,-80.1364,8.0789913039929,0.652173913,202228,FL,-0.19
Logan,35.1304,-93.7116,8.0502135163817,-0.648648649,202228,OK,-0.19
Salt Lake,40.4954,-111.9444,8.0372352979592,0.647058824,202228,UT,-0.19
Barry,36.5276,-93.9359,8.0287362822467,-0.646017699,202228,MO,-0.19
Valley,41.4293,-99.1205,7.9450125794837,-0.635761589,202228,NE,-0.19
Allen,30.4607,-92.8693,7.9381476196955,0.634920635,202228,IN,-0.19
Prince William,38.5223,-77.2936,7.9203738951779,0.632743363,202228,VA,-0.19
Schuylkill,40.5545,-76.2038,7.8571625,0.625,202228,PA,-0.19
Lake,28.5494,-81.7729,7.8334319746559,0.622093023,202228,CA,-0.19
Adams,31.4706,-91.4044,7.8085714281827,0.619047619,202228,CO,-0.19
Jefferson,28.883,-81.3087,7.8085714281827,0.619047619,202228,KS,-0.19
Taylor,29.6739,-83.3723,7.7786692276295,-0.615384615,202228,TX,-0.19
Benton,34.6244,-89.1862,7.7240652159716,-0.608695652,202228,WA,-0.19
Harrison,30.3598,-89.1646,7.7113892845481,0.607142857,202228,OH,-0.19
Grand Isle,44.6031,-72.9527,7.6910488389179,0.604651163,202228,VT,-0.19
Fairfield,34.2717,-81.2712,7.65308,0.6,202228,CT,-0.19
Jefferson,28.883,-81.3087,7.65308,0.6,202228,PA,-0.19
Potter,35.1751,-101.7976,7.65308,0.6,202228,PA,-0.19
Kanawha,38.0505,-81.4227,7.5570411755102,0.588235294,202228,WV,-0.19
Nassau,30.4193,-81.9724,7.55103875,0.5875,202228,FL,-0.19
