county,lat,lon,bubble,change,week,state,telemed
Taylor,29.6739,-83.3723,16,9.5,202308,TX,-0.21
Macomb,42.4658,-82.9459,16,9.333333333,202308,MI,-0.21
Rapides,31.0066,-92.5526,16,9.235294118,202308,LA,-0.21
Fort Bend,29.3327,-95.7702,16,83,202308,TX,-0.21
Avoyelles,30.8641,-92.1466,16,8.1,202308,LA,-0.21
Essex,37.7681,-76.7117,16,8,202308,MO,-0.21
Simpson,31.8277,-90.0088,16,8,202308,KY,-0.21
Denton,33.0033,-96.882,16,7.658536585,202308,TX,-0.21
Clinton,36.6857,-85.1407,16,7.642857143,202308,KY,-0.21
Dallas,32.1899,-87.0633,16,7.590277778,202308,TX,-0.21
Jefferson,28.883,-81.3087,16,7.5,202308,OK,-0.21
Labette,37.0418,-95.0796,16,7.25,202308,KS,-0.21
Bourbon,37.7175,-94.6613,16,7,202308,KY,-0.21
Hughes,34.878,-96.271,16,7,202308,OK,-0.21
Somerset,37.9666,-76.0235,16,7,202308,NJ,-0.21
St. Clair,33.5296,-86.3007,16,7,202308,IL,-0.21
Gibson,35.8081,-88.7627,16,6.777777778,202308,TN,-0.21
Sequoyah,35.3898,-94.4462,16,6.533333333,202308,OK,-0.21
Phillips,34.1335,-90.9751,16,6.428571429,202308,AR,-0.21
Tarrant,32.5773,-97.1416,16,6.044025157,202308,TX,-0.21
Pine,45.7575,-92.9624,16,58,202308,MN,-0.21
Grady,30.7462,-84.3125,16,5.921052632,202308,OK,-0.21
Pittsburg,34.6695,-96.0258,16,5.833333333,202308,OK,-0.21
Benton,34.6244,-89.1862,16,5.666666667,202308,AR,-0.21
Garvin,34.4719,-97.3879,16,5.5,202308,OK,-0.21
Cherokee,31.4885,-94.9399,16,5,202308,TX,-0.21
Pulaski,32.2778,-83.4948,16,4.958333333,202308,KY,-0.21
Jasper,30.3129,-94.0731,16,4.9,202308,TX,-0.21
Galveston,29.2205,-94.9444,16,4.764705882,202308,TX,-0.21
Wichita,33.8579,-98.8081,16,4.722222222,202308,TX,-0.21
Neshoba,32.6439,-89.112,16,4.615384615,202308,MS,-0.21
Barry,36.5276,-93.9359,16,4.5,202308,MO,-0.21
McClain,34.8904,-97.0997,16,4.5,202308,OK,-0.21
Jefferson,28.883,-81.3087,16,4.236842105,202308,TX,-0.21
Harris,29.5564,-95.144,16,4.147928994,202308,TX,-0.21
Manitowoc,43.9217,-87.7673,16,4,202308,WI,-0.21
Waller,29.8072,-95.9755,16,4,202308,TX,-0.21
Adair,35.6826,-94.7611,16,3.888888889,202308,KY,-0.21
Tillman,34.2282,-98.6867,16,3.80952381,202308,OK,-0.21
Lowndes,30.6906,-83.1753,16,3.730769231,202308,MS,-0.21
White,34.5839,-83.75,16,3.727272727,202308,AR,-0.21
Tom Green,31.2346,-100.5203,16,3.615384615,202308,TX,-0.21
Fannin,33.3796,-96.2475,16,3.59375,202308,TX,-0.21
Norfolk,36.8294,-76.2701,16,3.418604651,202308,MA,-0.21
Fayette,29.6882,-96.9106,16,3.285714286,202308,TN,-0.21
Stephens,32.6886,-98.659,16,3.1875,202308,OK,-0.21
Caldwell,29.6826,-97.6499,16,3.119047619,202308,KY,-0.21
Comanche,31.7629,-98.3695,16,3.061728395,202308,OK,-0.21
Charleston,32.6529,-80.1829,16,3,202308,SC,-0.21
Montgomery,30.1199,-95.4247,16,3,202308,TN,-0.21
Utah,39.953,-111.9008,16,3,202308,UT,-0.21
Ouachita,33.4169,-92.777,16,27,202308,AR,-0.21
Saline,34.4508,-92.6547,16,22.55555556,202308,AR,-0.21
Lincoln,31.3795,-90.2867,16,2.933333333,202308,OK,-0.21
Baxter,36.0068,-92.3917,16,2.794642857,202308,AR,-0.21
Winston,32.9789,-89.1221,16,2.730769231,202308,AL,-0.21
McLennan,31.2533,-97.41,16,2.65,202308,TX,-0.21
Brazoria,28.9541,-95.3597,16,2.6,202308,TX,-0.21
Bryan,31.8962,-81.294,16,2.588235294,202308,OK,-0.21
Madison,30.3979,-83.2844,16,2.540540541,202308,KY,-0.21
Hopkins,33.0107,-95.4734,16,2.513333333,202308,KY,-0.21
Oklahoma,34.506,-97.1131,16,2.504171011,202308,OK,-0.21
Christian,36.6543,-87.4606,16,2.5,202308,KY,-0.21
Lehigh,40.4734,-75.5261,16,2.5,202308,PA,-0.21
Mayes,36.1669,-95.3416,16,2.444444444,202308,OK,-0.21
Cameron,25.9017,-97.4975,16,2.426829268,202308,TX,-0.21
Rogers,36.1503,-95.5205,16,2.40776699,202308,OK,-0.21
Midland,31.8693,-102.0317,16,2.4,202308,TX,-0.21
Logan,35.1304,-93.7116,16,2.296296296,202308,OK,-0.21
Lawrence,31.4036,-90.1864,16,2.23943662,202308,OH,-0.21
Jackson,28.7671,-96.6492,16,2.045454545,202308,OK,-0.21
Cleveland,33.7588,-92.1939,16,2.037869822,202308,OK,-0.21
Belmont,39.8679,-80.8168,16,2,202308,OH,-0.21
Lincoln,31.3795,-90.2867,16,2,202308,ME,-0.21
Russell,32.1468,-85.0738,16,2,202308,KY,-0.21
La Salle,28.0405,-99.3563,16,19,202308,LA,-0.21
Collin,33.0139,-96.4377,16,18.76190476,202308,TX,-0.21
Arkansas,34.0893,-91.2437,16,17.8,202308,AR,-0.21
Davidson,35.6196,-80.0959,16,17.35714286,202308,TN,-0.21
Hardin,30.1491,-94.3733,16,166,202308,TN,-0.21
Gregg,32.3836,-94.8653,16,150.6666667,202308,TX,-0.21
Shelby,31.7131,-93.9698,16,15.91071429,202308,TN,-0.21
Travis,30.1204,-97.7433,16,15.375,202308,TX,-0.21
Tate,34.6323,-89.8855,16,144,202308,MS,-0.21
Craighead,35.7456,-90.5507,16,13.44444444,202308,AR,-0.21
Bell,30.7991,-97.4263,16,125,202308,TX,-0.21
Wayne,31.5168,-82.0397,16,12.6,202308,KY,-0.21
Okmulgee,35.4551,-95.9498,16,12.33333333,202308,OK,-0.21
Madison,30.3979,-83.2844,16,11.34782609,202308,MS,-0.21
Sunflower,33.349,-90.6051,16,10.75,202308,MS,-0.21
Oktibbeha,33.357,-89.0473,16,10.4,202308,MS,-0.21
Osage,36.1576,-96.0311,16,1.967741935,202308,OK,-0.21
Okfuskee,35.3416,-96.1136,16,1.913043478,202308,OK,-0.21
Henderson,32.0797,-95.5938,16,1.9125,202308,KY,-0.21
Ottawa,36.6296,-94.9432,16,1.90625,202308,OK,-0.21
Mills,31.4458,-98.5744,16,1.888888889,202308,TX,-0.21
Carter,34.1364,-97.4273,16,1.853658537,202308,OK,-0.21
Ohio,37.3418,-86.77,16,1.827586207,202308,KY,-0.21
Kingfisher,35.7502,-97.93,16,1.825,202308,OK,-0.21
Benton,34.6244,-89.1862,16,1.8,202308,WA,-0.21
Saline,34.4508,-92.6547,16,1.8,202308,MO,-0.21
Murray,34.402,-97.051,16,1.798319328,202308,OK,-0.21
Pottawatomie,34.9849,-96.8763,16,1.753753754,202308,OK,-0.21
Sharp,35.9517,-91.5444,16,1.75,202308,AR,-0.21
Kenton,38.8394,-84.5069,16,1.720588235,202308,KY,-0.21
Mercer,37.2698,-81.2223,16,1.716666667,202308,KY,-0.21
Knox,33.4183,-99.8137,16,1.714285714,202308,IN,-0.21
Harrison,30.3598,-89.1646,16,1.702702703,202308,OH,-0.21
Owen,38.4986,-84.8086,16,1.7,202308,KY,-0.21
Delaware,36.1662,-94.8547,16,1.62295082,202308,OK,-0.21
Breckinridge,37.6194,-86.4491,16,1.619047619,202308,KY,-0.21
Massac,37.1542,-88.5334,16,1.615384615,202308,IL,-0.21
Phelps,37.6158,-91.9064,16,1.615384615,202308,MO,-0.21
Nolan,32.082,-100.3111,16,1.6,202308,TX,-0.21
Boyle,37.5778,-84.9281,16,1.575757576,202308,KY,-0.21
Canadian,35.3885,-97.7309,16,1.567164179,202308,OK,-0.21
Cherokee,31.4885,-94.9399,16,1.549618321,202308,OK,-0.21
Kay,36.6806,-97.3063,16,1.530973451,202308,OK,-0.21
Creek,35.7551,-96.5658,16,1.528301887,202308,OK,-0.21
Payne,35.9768,-97.0441,16,1.525252525,202308,OK,-0.21
Burlington,39.5923,-74.451,15.00005,1.5,202308,NJ,-0.21
Butler,31.545,-86.7356,15.00005,1.5,202308,KY,-0.21
Tulsa,35.9183,-95.7988,14.8432425988775,1.480791175,202308,OK,-0.21
Montgomery,30.1199,-95.4247,14.7907346124542,1.474358974,202308,KS,-0.21
Muskogee,35.3631,-95.2607,14.2371247657448,1.406542056,202308,OK,-0.21
Marion,28.9782,-81.8932,14.234740625,1.40625,202308,KY,-0.21
Fillmore,40.4065,-97.4427,14.18372,1.4,202308,NE,-0.21
Logan,35.1304,-93.7116,13.9049731745147,1.365853659,202308,KY,-0.21
St. Landry,30.3884,-92.0934,13.8209066702948,1.355555556,202308,LA,-0.21
Fayette,29.6882,-96.9106,13.7505653101208,1.346938776,202308,KY,-0.21
Jessamine,37.8602,-84.6714,13.7505653101208,1.346938776,202308,KY,-0.21
McIntosh,31.3826,-81.4312,13.6394999972789,1.333333333,202308,OK,-0.21
Jasper,30.3129,-94.0731,13.5688220805725,1.324675325,202308,MO,-0.21
Washington,30.1669,-96.3977,13.36739,1.3,202308,OK,-0.21
Big Horn,44.2507,-107.6053,13.1162115365777,1.269230769,202308,WY,-0.21
Neosho,37.4527,-95.4671,13.0883911407905,1.265822785,202308,KS,-0.21
Allen,30.4607,-92.8693,13.0348111089947,1.259259259,202308,KS,-0.21
Berks,40.1552,-75.8998,12.9207188690027,1.245283019,202308,PA,-0.21
Warren,32.3258,-90.8507,12.8581940563346,1.237623762,202308,KY,-0.21
Noble,36.2753,-97.4526,12.44901875,1.1875,202308,OH,-0.21
Vermilion,29.9466,-92.2416,12.4026363651206,1.181818182,202308,LA,-0.21
Putnam,25.7964,-80.3849,12.2789500027211,1.166666667,202308,FL,-0.21
Pike,31.0217,-90.479,12.1882466702948,1.155555556,202308,KY,-0.21
Meade,37.2701,-100.5732,12.0215486475455,1.135135135,202308,KY,-0.21
Harrison,30.3598,-89.1646,12.0068399972789,1.133333333,202308,MO,-0.21
Scioto,38.5848,-82.8321,11.913924394226,1.12195122,202308,OH,-0.21
Daviess,37.6206,-87.0591,11.6912568029948,1.094674556,202308,KY,-0.21
Wagoner,35.8507,-95.3183,11.5374180104072,1.075829384,202308,OK,-0.21
Anderson,31.648,-95.5551,11.5306475,1.075,202308,KS,-0.21
Lawrence,31.4036,-90.1864,11.5014928536443,1.071428571,202308,AL,-0.21
Custer,35.5115,-98.9795,11.4813862049261,1.068965517,202308,OK,-0.21
Essex,37.7681,-76.7117,11.4626200027211,1.066666667,202308,NJ,-0.21
Boyd,38.3089,-82.7476,11.3930104660655,1.058139535,202308,KY,-0.21
Seward,37.0216,-100.938,11.2894590871985,1.045454545,202308,KS,-0.21
Greene,31.0867,-88.7977,11.2877800923077,1.045248869,202308,MO,-0.21
Haskell,33.0771,-99.959,11.1332236803437,1.026315789,202308,OK,-0.21
Oldham,35.1916,-102.2118,11.1104776489796,1.023529412,202308,KY,-0.21
Ray,39.2048,-94.0259,11.0784647047619,1.019607843,202308,MO,-0.21
Benton,34.6244,-89.1862,10.9184,1,202308,MN,-0.21
Cherokee,31.4885,-94.9399,10.9184,1,202308,KS,-0.21
Grant,31.5,-92.4005,10.9184,1,202308,IN,-0.21
McCracken,37.0368,-88.5934,10.9184,1,202308,KY,-0.21
Pontotoc,34.1617,-89.1795,10.9184,1,202308,OK,-0.21
Sullivan,36.4195,-82.304,10.9184,1,202308,NY,-0.21
Wood,32.6439,-95.222,10.9184,1,202308,WV,-0.21
Saline,34.4508,-92.6547,10.8050208324263,0.986111111,202308,IL,-0.21
Christian,36.6543,-87.4606,10.7434721463557,0.978571429,202308,MO,-0.21
Oakland,42.4567,-83.659,10.6783029387755,-0.970588235,202308,MI,-0.21
Clay,29.7683,-81.9907,10.3951115392988,0.935897436,202308,NE,-0.21
Erie,41.3111,-82.6126,10.1590232542952,0.906976744,202308,NY,-0.21
Orange,28.3774,-81.1888,10.1284032221198,0.903225806,202308,IN,-0.21
Sumner,36.3047,-86.6211,10.1180764680272,0.901960784,202308,KS,-0.21
Marshall,33.9517,-96.712,10.0591052622986,0.894736842,202308,KS,-0.21
Jackson,28.7671,-96.6492,10.0113666675737,0.888888889,202308,GA,-0.21
Perkins,40.8073,-101.9839,10.0113666675737,0.888888889,202308,NE,-0.21
Audubon,41.5524,-94.974,9.9764807723705,0.884615385,202308,IA,-0.21
Hardin,30.1491,-94.3733,9.9331741393385,0.879310345,202308,KY,-0.21
Garfield,36.1962,-97.8805,9.8979875,0.875,202308,OK,-0.21
Morgan,33.5368,-83.3435,9.8979875,0.875,202308,AL,-0.21
Russell,32.1468,-85.0738,9.8979875,0.875,202308,KS,-0.21
Shawnee,38.9045,-95.7015,9.8497498174397,0.869090909,202308,KS,-0.21
Hocking,39.4174,-82.5923,9.8478032785547,0.868852459,202308,OH,-0.21
Franklin,29.7255,-85.0063,9.7924275901478,-0.862068966,202308,WA,-0.21
Essex,37.7681,-76.7117,9.7522142845481,-0.857142857,202308,ME,-0.21
Merrick,40.9856,-98.2217,9.6294578934479,0.842105263,202308,NE,-0.21
Kanawha,38.0505,-81.4227,9.6196931825603,0.840909091,202308,WV,-0.21
Cherry,42.2403,-100.2595,9.5578499972789,0.833333333,202308,NE,-0.21
Richardson,40.0536,-95.4292,9.4986956560781,0.826086957,202308,NE,-0.21
Kearney,40.3735,-99.1539,9.4778176489796,0.823529412,202308,NE,-0.21
Greenup,38.4322,-82.8094,9.4606678536443,0.821428571,202308,KY,-0.21
Nelson,37.5473,-78.8508,9.449006,0.82,202308,KY,-0.21
Stanislaus,37.3097,-121.0805,9.3964288132826,0.813559322,202308,CA,-0.21
Terrebonne,29.3695,-90.697,9.363485718173,0.80952381,202308,LA,-0.21
Fredericksburg,38.2995,-77.4772,9.3430263169352,0.807017544,202308,VA,-0.21
Atlantic,39.3194,-74.5356,9.1691214309038,0.785714286,202308,NJ,-0.21
Chautauqua,37.0262,-96.1783,9.1691214309038,0.785714286,202308,KS,-0.21
Hudson,40.6664,-74.1192,9.1043333351474,0.777777778,202308,NJ,-0.21
New Castle,39.3819,-75.6834,8.8909137260771,0.751633987,202308,DE,-0.21
Franklin,29.7255,-85.0063,8.8404690871985,0.745454545,202308,KY,-0.21
Graves,36.5603,-88.5692,8.8117419365372,0.741935484,202308,KY,-0.21
Franklin,29.7255,-85.0063,8.7620566070081,0.735849057,202308,MO,-0.21
Henry,31.3534,-85.3323,8.7205884634223,0.730769231,202308,MO,-0.21
City of Alexandria,38.8013,-77.0707,8.6920454523191,0.727272727,202308,VA,-0.21
Guthrie,41.5033,-94.3186,8.6508166648526,0.722222222,202308,IA,-0.21
Tippecanoe,40.247,-86.725,8.6508166648526,0.722222222,202308,IN,-0.21
Wyandotte,39.0668,-94.6282,8.6245801615112,0.719008264,202308,KS,-0.21
Douglas,33.6634,-84.8639,8.6178336348794,0.718181818,202308,OR,-0.21
Montgomery,30.1199,-95.4247,8.6025702149081,0.716312057,202308,OH,-0.21
Ottawa,36.6296,-94.9432,8.5860285690962,0.714285714,202308,KS,-0.21
Churchill,39.4703,-118.7861,8.4749632644176,0.700680272,202308,NV,-0.21
Franklin,29.7255,-85.0063,8.4504255846227,0.697674419,202308,TN,-0.21
Hays,29.8754,-97.9404,8.4339173920142,0.695652174,202308,TX,-0.21
Valdez-Cordova,60.5362,-145.7534,8.4066153821036,-0.692307692,202308,AK,-0.21
Cumberland,34.9536,-78.9354,8.3209863651206,0.681818182,202308,PA,-0.21
Henrico,37.4638,-77.398,8.2617047335829,0.674556213,202308,VA,-0.21
Jefferson,28.883,-81.3087,8.1973000027211,-0.666666667,202308,KS,-0.21
Elkhart,41.4493,-85.9945,8.1973000027211,0.666666667,202308,IN,-0.21
Kidder,46.8336,-99.6019,8.1973000027211,0.666666667,202308,ND,-0.21
Kleberg,27.3217,-97.7787,8.0789913039929,0.652173913,202308,TX,-0.21
Washington,30.1669,-96.3977,8.0707372117703,-0.651162791,202308,IA,-0.21
